query_word,neighbor,cosine_similarity
الكحول,دواء,0.3031
الكحول,غسيل,0.2792
الكحول,قهوة,0.2702
الكحول,كوب,0.2694
الكحول,مرض,0.2567
الكحول,نقاء,0.2365
الكحول,سائق,0.2283
الكحول,ثقافة,0.2242
الكحول,فساد,0.2232
الكحول,نجاسة,0.2193
الكحول,عدوى,0.2125
الكحول,شرطي,0.208
الكحول,تضخم,0.2076
الكحول,"
تسوق",0.2026
الكحول,تسامح,0.1957
الكحول,أخلاق,0.1952
الكحول,منتج,0.187
الكحول,سيارة,0.1858
الكحول,حادثة,0.185
مفهوم,ثقافة,0.4525
مفهوم,عقيدة,0.4151
مفهوم,مجتمع,0.3964
مفهوم,مناخ,0.3645
مفهوم,برنامج,0.3626
مفهوم,مرض,0.3401
مفهوم,تبني,0.3383
مفهوم,تضخم,0.3379
مفهوم,مبنى,0.3353
مفهوم,تشجيع,0.3331
مفهوم,إلحاد,0.3297
مفهوم,قبول,0.3266
مفهوم,تقاليد,0.3232
مفهوم,تعليم,0.3193
مفهوم,حرية,0.3175
مفهوم,تقدير,0.3119
مفهوم,بلوغ,0.3105
مفهوم,أخلاق,0.3094
مفهوم,خصوصية,0.3044
مفهوم,عامل,0.3042
خير,الله,0.4575
خير,سعادة,0.3517
خير,شرف,0.3356
خير,جار,0.3021
خير,نعمة,0.2994
خير,صدق,0.2978
خير,معلم,0.2893
خير,رجل,0.2881
خير,فلاح,0.2873
خير,أخلاق,0.2763
خير,مصباح,0.2726
خير,حكمة,0.2721
خير,وفاء,0.2717
خير,زوج,0.2706
خير,عبادة,0.2682
خير,مثالية,0.2678
خير,ابن,0.2584
خير,فساد,0.2494
خير,كرم,0.2412
خير,عدالة,0.2398
جمال,نقاء,0.4175
جمال,كرم,0.4129
جمال,عقل,0.4037
جمال,حبيب,0.4031
جمال,إيمان,0.4001
جمال,مصباح,0.396
جمال,وفاء,0.391
جمال,فلاح,0.379
جمال,ابن,0.3787
جمال,بنت,0.3736
جمال,نعمة,0.3736
جمال,شرف,0.3605
جمال,سعادة,0.3576
جمال,قداسة,0.3551
جمال,شمس,0.3509
جمال,شعر,0.3437
جمال,حياة,0.3219
جمال,زوجة,0.317
جمال,شروق,0.3157
جمال,حكمة,0.3155
اعتقاد,عقيدة,0.5208
اعتقاد,إيمان,0.4826
اعتقاد,إلحاد,0.3922
اعتقاد,فساد,0.3682
اعتقاد,تقدير,0.3517
اعتقاد,قبول,0.3438
اعتقاد,ثقافة,0.3248
اعتقاد,احتفال,0.3159
اعتقاد,تقاليد,0.3142
اعتقاد,"
تسوق",0.3061
اعتقاد,تشجيع,0.3054
اعتقاد,إعلام,0.2989
اعتقاد,عبادة,0.2981
اعتقاد,حكمة,0.2776
اعتقاد,صدق,0.2771
اعتقاد,تبني,0.2742
اعتقاد,مرض,0.2723
اعتقاد,عقل,0.2699
اعتقاد,إعجاب,0.2696
اعتقاد,تضخم,0.2682
جبل,منطقة,0.4756
جبل,بلدة,0.4344
جبل,معبد,0.4085
جبل,غابة,0.406
جبل,مسجد,0.4014
جبل,عامل,0.3781
جبل,عين,0.3775
جبل,صحراء,0.359
جبل,ابن,0.3494
جبل,كنيسة,0.3243
جبل,فندق,0.3236
جبل,مدرسة,0.3196
جبل,مناخ,0.3174
جبل,مبنى,0.3118
جبل,مرض,0.3014
جبل,شجرة,0.2963
جبل,كرم,0.2951
جبل,رجل,0.2942
جبل,طائر,0.2914
جبل,جنة,0.2909
سجن,مسجد,0.4018
سجن,مدرسة,0.3952
سجن,فندق,0.3928
سجن,مبنى,0.3923
سجن,بلدة,0.3674
سجن,كنيسة,0.3609
سجن,منطقة,0.351
سجن,مجتمع,0.3355
سجن,فساد,0.3231
سجن,مناخ,0.3225
سجن,غرفة,0.3197
سجن,صحراء,0.3171
سجن,غابة,0.3168
سجن,موظف,0.3126
سجن,"
تسوق",0.3104
سجن,مدير,0.3092
سجن,معبد,0.3088
سجن,طبيب,0.3082
سجن,مكتب,0.3077
سجن,ابن,0.3051
مسؤولية,رقابة,0.4149
مسؤولية,خصوصية,0.3441
مسؤولية,حكومة,0.3356
مسؤولية,ميزانية,0.332
مسؤولية,ثقافة,0.3237
مسؤولية,حرية,0.3168
مسؤولية,فساد,0.3151
مسؤولية,عدالة,0.3079
مسؤولية,عقيدة,0.3072
مسؤولية,تبني,0.3069
مسؤولية,إنسانية,0.3057
مسؤولية,شجاعة,0.2943
مسؤولية,تشجيع,0.2835
مسؤولية,قداسة,0.2779
مسؤولية,حادثة,0.2729
مسؤولية,إجهاض,0.2726
مسؤولية,مدير,0.2675
مسؤولية,إعلام,0.2656
مسؤولية,تقدير,0.2643
مسؤولية,ديمقراطية,0.2636
