word,concreteness,predicted,fold,k,weighting,embedding
ascent,2.61,3.031267861135461,1,35,distance,crawl-300d-2M-subword.bin
asphalt,4.83,4.66375482325119,1,35,distance,crawl-300d-2M-subword.bin
asset,2.92,3.005089034791519,1,35,distance,crawl-300d-2M-subword.bin
asshole,4.08,3.724651449866449,1,35,distance,crawl-300d-2M-subword.bin
assortment,2.5,3.2060351250323285,1,35,distance,crawl-300d-2M-subword.bin
astrologer,3.78,4.009800690123306,1,35,distance,crawl-300d-2M-subword.bin
astronomy,3.03,3.2049455456478926,1,35,distance,crawl-300d-2M-subword.bin
asylum,4.41,3.3685348948699905,1,35,distance,crawl-300d-2M-subword.bin
atheist,2.93,3.275859036352589,1,35,distance,crawl-300d-2M-subword.bin
attendee,3.79,3.677498875691669,1,35,distance,crawl-300d-2M-subword.bin
attorney,4.52,4.099806297979804,1,35,distance,crawl-300d-2M-subword.bin
attractiveness,2.14,2.137513134716716,1,35,distance,crawl-300d-2M-subword.bin
austerity,1.38,2.1146448542797143,1,35,distance,crawl-300d-2M-subword.bin
authorship,2.52,2.691145848341147,1,35,distance,crawl-300d-2M-subword.bin
autonomy,2.04,2.0555627453499623,1,35,distance,crawl-300d-2M-subword.bin
aviation,3.39,3.8362133484710035,1,35,distance,crawl-300d-2M-subword.bin
axle,4.5,4.405275389705632,1,35,distance,crawl-300d-2M-subword.bin
backbone,4.19,3.0620924085588532,1,35,distance,crawl-300d-2M-subword.bin
backdrop,4.48,2.965223770477943,1,35,distance,crawl-300d-2M-subword.bin
backer,2.8,3.54475744199751,1,35,distance,crawl-300d-2M-subword.bin
backlash,1.85,2.3880070979537247,1,35,distance,crawl-300d-2M-subword.bin
backyard,4.57,4.703129667010723,1,35,distance,crawl-300d-2M-subword.bin
badge,4.93,4.173230956292355,1,35,distance,crawl-300d-2M-subword.bin
bag,4.9,4.784791079338184,1,35,distance,crawl-300d-2M-subword.bin
baggage,4.43,3.9575335532661766,1,35,distance,crawl-300d-2M-subword.bin
bailiff,4.5,4.157974587946634,1,35,distance,crawl-300d-2M-subword.bin
ballroom,4.7,4.464810825365614,1,35,distance,crawl-300d-2M-subword.bin
bamboo,4.86,4.726632603000643,1,35,distance,crawl-300d-2M-subword.bin
banana,5.0,4.879288238365752,1,35,distance,crawl-300d-2M-subword.bin
bandwidth,3.19,3.088668099227033,1,35,distance,crawl-300d-2M-subword.bin
barley,4.59,4.84010419178075,1,35,distance,crawl-300d-2M-subword.bin
baroque,2.62,3.389638685090836,1,35,distance,crawl-300d-2M-subword.bin
basket,5.0,4.796635389981797,1,35,distance,crawl-300d-2M-subword.bin
bassist,4.17,4.25334816655193,1,35,distance,crawl-300d-2M-subword.bin
bathtub,4.92,4.826320359518399,1,35,distance,crawl-300d-2M-subword.bin
baton,4.64,4.641361632984676,1,35,distance,crawl-300d-2M-subword.bin
bay,4.81,4.614374547904434,1,35,distance,crawl-300d-2M-subword.bin
beach,4.79,4.692159297305219,1,35,distance,crawl-300d-2M-subword.bin
beast,4.63,4.18727632376886,1,35,distance,crawl-300d-2M-subword.bin
beauty,2.93,2.1895619449487715,1,35,distance,crawl-300d-2M-subword.bin
bedtime,2.9,3.9284902720739785,1,35,distance,crawl-300d-2M-subword.bin
beginner,2.73,3.544602764448242,1,35,distance,crawl-300d-2M-subword.bin
beginning,2.5,2.7562128428922463,1,35,distance,crawl-300d-2M-subword.bin
believer,2.73,2.7016814425202234,1,35,distance,crawl-300d-2M-subword.bin
benefactor,3.36,3.429365638854836,1,35,distance,crawl-300d-2M-subword.bin
biochemistry,3.4,2.9768545905399244,1,35,distance,crawl-300d-2M-subword.bin
biologist,3.96,4.047971260259942,1,35,distance,crawl-300d-2M-subword.bin
biotech,3.0,3.6015342929070187,1,35,distance,crawl-300d-2M-subword.bin
biotechnology,2.9,3.192518224120231,1,35,distance,crawl-300d-2M-subword.bin
birthday,3.2,3.975433682363484,1,35,distance,crawl-300d-2M-subword.bin
blackberry,4.97,4.793098511245533,1,35,distance,crawl-300d-2M-subword.bin
blade,4.93,4.63443284080444,1,35,distance,crawl-300d-2M-subword.bin
blessing,2.19,2.397171872093274,1,35,distance,crawl-300d-2M-subword.bin
bliss,1.37,2.0163701890446153,1,35,distance,crawl-300d-2M-subword.bin
blood,4.86,4.334312941660761,1,35,distance,crawl-300d-2M-subword.bin
boiler,4.52,4.526421772712547,1,35,distance,crawl-300d-2M-subword.bin
bone,4.9,4.701819865432599,1,35,distance,crawl-300d-2M-subword.bin
bonnet,4.93,4.64434421006867,1,35,distance,crawl-300d-2M-subword.bin
booking,3.0,3.314330746734207,1,35,distance,crawl-300d-2M-subword.bin
booklet,4.72,4.177451494512829,1,35,distance,crawl-300d-2M-subword.bin
boredom,1.96,2.136674286888075,1,35,distance,crawl-300d-2M-subword.bin
borough,3.81,3.842014348345054,1,35,distance,crawl-300d-2M-subword.bin
bottleneck,3.97,2.8127948803960217,1,35,distance,crawl-300d-2M-subword.bin
brain,4.69,3.6521353989096252,1,35,distance,crawl-300d-2M-subword.bin
brainstorm,2.55,2.7743575956616233,1,35,distance,crawl-300d-2M-subword.bin
brandy,4.81,4.719701757428266,1,35,distance,crawl-300d-2M-subword.bin
breaker,3.85,4.033078311504599,1,35,distance,crawl-300d-2M-subword.bin
breeding,2.96,3.4893672896337353,1,35,distance,crawl-300d-2M-subword.bin
briefing,2.79,3.3123578711771584,1,35,distance,crawl-300d-2M-subword.bin
brigade,4.3,3.8705680565079987,1,35,distance,crawl-300d-2M-subword.bin
brightness,3.43,2.855108431465482,1,35,distance,crawl-300d-2M-subword.bin
brink,2.48,2.777967624656794,1,35,distance,crawl-300d-2M-subword.bin
brow,4.39,4.634809173969189,1,35,distance,crawl-300d-2M-subword.bin
bucket,4.96,4.739447176999731,1,35,distance,crawl-300d-2M-subword.bin
buddy,3.48,3.960320502652283,1,35,distance,crawl-300d-2M-subword.bin
buildup,3.08,2.875483132412885,1,35,distance,crawl-300d-2M-subword.bin
bulkhead,4.17,4.545178381488938,1,35,distance,crawl-300d-2M-subword.bin
bunny,4.97,4.733398824211577,1,35,distance,crawl-300d-2M-subword.bin
bureaucracy,1.64,2.49374706925277,1,35,distance,crawl-300d-2M-subword.bin
burglar,4.44,4.13512452751208,1,35,distance,crawl-300d-2M-subword.bin
butterfly,4.93,4.7000906476285556,1,35,distance,crawl-300d-2M-subword.bin
byproduct,3.16,2.414819329652805,1,35,distance,crawl-300d-2M-subword.bin
bystander,4.17,4.0201526003517465,1,35,distance,crawl-300d-2M-subword.bin
cable,4.74,4.152198875265913,1,35,distance,crawl-300d-2M-subword.bin
cadence,2.7,2.8819121834383377,1,35,distance,crawl-300d-2M-subword.bin
cafeteria,4.71,4.620914826344132,1,35,distance,crawl-300d-2M-subword.bin
calculus,2.26,2.9690012369649326,1,35,distance,crawl-300d-2M-subword.bin
calf,4.48,4.811979772830265,1,35,distance,crawl-300d-2M-subword.bin
caliber,3.0,3.2002630155503313,1,35,distance,crawl-300d-2M-subword.bin
cameraman,4.63,4.2407622009367225,1,35,distance,crawl-300d-2M-subword.bin
campground,4.7,4.673825380093868,1,35,distance,crawl-300d-2M-subword.bin
camping,4.0,4.2183360127221885,1,35,distance,crawl-300d-2M-subword.bin
campsite,4.55,4.650252373080648,1,35,distance,crawl-300d-2M-subword.bin
cancellation,2.1,2.6820330283225386,1,35,distance,crawl-300d-2M-subword.bin
canister,4.93,4.516519699665507,1,35,distance,crawl-300d-2M-subword.bin
canvas,4.78,4.677004453855125,1,35,distance,crawl-300d-2M-subword.bin
canyon,4.81,4.66210339486022,1,35,distance,crawl-300d-2M-subword.bin
capability,1.93,2.440342645131835,1,35,distance,crawl-300d-2M-subword.bin
carbon,4.22,4.148304849527187,1,35,distance,crawl-300d-2M-subword.bin
carriage,4.86,4.499667534082277,1,35,distance,crawl-300d-2M-subword.bin
cartoonist,3.93,4.071557978445048,1,35,distance,crawl-300d-2M-subword.bin
casino,4.77,4.286251386429954,1,35,distance,crawl-300d-2M-subword.bin
casserole,4.87,4.814038120529526,1,35,distance,crawl-300d-2M-subword.bin
castle,4.96,4.533253224169276,1,35,distance,crawl-300d-2M-subword.bin
cat,4.86,4.808347897260651,1,35,distance,crawl-300d-2M-subword.bin
catalyst,2.85,3.1130426419978585,1,35,distance,crawl-300d-2M-subword.bin
catcher,4.44,4.211414409271838,1,35,distance,crawl-300d-2M-subword.bin
catechism,2.57,3.0287971421436044,1,35,distance,crawl-300d-2M-subword.bin
category,2.82,2.8666778227058374,1,35,distance,crawl-300d-2M-subword.bin
ceiling,4.85,4.63183843423852,1,35,distance,crawl-300d-2M-subword.bin
celebrity,3.28,3.400513981890211,1,35,distance,crawl-300d-2M-subword.bin
cell,4.44,4.094851424736381,1,35,distance,crawl-300d-2M-subword.bin
census,3.3,3.439519452791357,1,35,distance,crawl-300d-2M-subword.bin
century,2.83,3.1933446499602214,1,35,distance,crawl-300d-2M-subword.bin
chairman,4.31,4.05730245946829,1,35,distance,crawl-300d-2M-subword.bin
chandelier,4.79,4.6050609785450085,1,35,distance,crawl-300d-2M-subword.bin
chariot,4.86,4.616675252181194,1,35,distance,crawl-300d-2M-subword.bin
chef,4.3,4.406350564596493,1,35,distance,crawl-300d-2M-subword.bin
chemistry,3.64,2.886354587777004,1,35,distance,crawl-300d-2M-subword.bin
chess,4.7,4.21015906446169,1,35,distance,crawl-300d-2M-subword.bin
chimney,5.0,4.570664684589824,1,35,distance,crawl-300d-2M-subword.bin
chiropractor,4.86,4.235374460836169,1,35,distance,crawl-300d-2M-subword.bin
choice,1.9,2.298812808828424,1,35,distance,crawl-300d-2M-subword.bin
cholera,3.26,3.4459168805027853,1,35,distance,crawl-300d-2M-subword.bin
choreographer,4.23,4.108954743666358,1,35,distance,crawl-300d-2M-subword.bin
chromosome,4.11,3.577199761735531,1,35,distance,crawl-300d-2M-subword.bin
churchyard,4.93,4.584879955981855,1,35,distance,crawl-300d-2M-subword.bin
cigarette,4.88,4.708547809219144,1,35,distance,crawl-300d-2M-subword.bin
circus,4.43,4.163625642063896,1,35,distance,crawl-300d-2M-subword.bin
citation,3.66,3.140680346010873,1,35,distance,crawl-300d-2M-subword.bin
civility,1.62,1.9577261567972775,1,35,distance,crawl-300d-2M-subword.bin
civilization,3.32,2.4768767986558946,1,35,distance,crawl-300d-2M-subword.bin
cleanliness,2.63,2.1491987222300337,1,35,distance,crawl-300d-2M-subword.bin
clerk,4.28,4.342460811217121,1,35,distance,crawl-300d-2M-subword.bin
climber,4.5,4.285688595296399,1,35,distance,crawl-300d-2M-subword.bin
clone,4.34,3.6607643660391886,1,35,distance,crawl-300d-2M-subword.bin
clothing,4.43,4.65637878843804,1,35,distance,crawl-300d-2M-subword.bin
coast,4.21,4.321929713402485,1,35,distance,crawl-300d-2M-subword.bin
coherence,2.62,2.1542034765141733,1,35,distance,crawl-300d-2M-subword.bin
cohort,2.75,3.488133128843191,1,35,distance,crawl-300d-2M-subword.bin
collagen,3.67,4.14390394137534,1,35,distance,crawl-300d-2M-subword.bin
colleague,3.79,4.101229154820216,1,35,distance,crawl-300d-2M-subword.bin
combustion,3.86,3.7059416575252437,1,35,distance,crawl-300d-2M-subword.bin
comedian,4.04,4.085515011658618,1,35,distance,crawl-300d-2M-subword.bin
comma,4.65,3.1534608749982165,1,35,distance,crawl-300d-2M-subword.bin
commentator,4.15,3.860678760476128,1,35,distance,crawl-300d-2M-subword.bin
commissioner,3.64,3.898098412477522,1,35,distance,crawl-300d-2M-subword.bin
commonality,1.74,2.000327494159716,1,35,distance,crawl-300d-2M-subword.bin
commonwealth,3.38,3.4188653066946544,1,35,distance,crawl-300d-2M-subword.bin
communication,2.9,2.743440980279757,1,35,distance,crawl-300d-2M-subword.bin
communism,1.86,2.1377848920906515,1,35,distance,crawl-300d-2M-subword.bin
companionship,2.45,2.521745221939949,1,35,distance,crawl-300d-2M-subword.bin
comparison,2.0,2.4583996717116237,1,35,distance,crawl-300d-2M-subword.bin
competence,1.78,2.0270318637891123,1,35,distance,crawl-300d-2M-subword.bin
competition,3.86,2.8346323110617173,1,35,distance,crawl-300d-2M-subword.bin
component,3.04,3.184934935028006,1,35,distance,crawl-300d-2M-subword.bin
composition,3.1,2.847104515588338,1,35,distance,crawl-300d-2M-subword.bin
composure,2.43,2.133196841323309,1,35,distance,crawl-300d-2M-subword.bin
comprehension,1.78,2.0277081378306367,1,35,distance,crawl-300d-2M-subword.bin
concentration,2.1,2.552343659676103,1,35,distance,crawl-300d-2M-subword.bin
conception,2.24,2.229173851702031,1,35,distance,crawl-300d-2M-subword.bin
concierge,3.89,3.998720879465403,1,35,distance,crawl-300d-2M-subword.bin
condemnation,2.04,2.207219525763898,1,35,distance,crawl-300d-2M-subword.bin
condensation,4.24,3.5648367762562647,1,35,distance,crawl-300d-2M-subword.bin
condolence,2.19,3.001373275346475,1,35,distance,crawl-300d-2M-subword.bin
condominium,4.35,4.204921333412609,1,35,distance,crawl-300d-2M-subword.bin
confirmation,2.39,2.716235059734931,1,35,distance,crawl-300d-2M-subword.bin
confluence,2.22,2.4439733142423075,1,35,distance,crawl-300d-2M-subword.bin
congestion,3.61,2.8238392966579053,1,35,distance,crawl-300d-2M-subword.bin
congress,3.9,3.4705176385177126,1,35,distance,crawl-300d-2M-subword.bin
conjunction,2.15,2.465875966417736,1,35,distance,crawl-300d-2M-subword.bin
connection,3.0,2.6535103242173648,1,35,distance,crawl-300d-2M-subword.bin
consignment,2.63,3.68743214776353,1,35,distance,crawl-300d-2M-subword.bin
constraint,2.93,2.3728397127611998,1,35,distance,crawl-300d-2M-subword.bin
consultant,3.97,3.930131464494397,1,35,distance,crawl-300d-2M-subword.bin
container,4.85,4.428840042136558,1,35,distance,crawl-300d-2M-subword.bin
contempt,1.82,2.0754828139377475,1,35,distance,crawl-300d-2M-subword.bin
contention,1.75,2.111922563638043,1,35,distance,crawl-300d-2M-subword.bin
contentment,2.25,2.0141117907314334,1,35,distance,crawl-300d-2M-subword.bin
continuance,2.12,2.3755492693364784,1,35,distance,crawl-300d-2M-subword.bin
continuity,2.03,2.1741963627677547,1,35,distance,crawl-300d-2M-subword.bin
contraction,3.53,2.993956515542663,1,35,distance,crawl-300d-2M-subword.bin
contradiction,2.11,2.013499582231615,1,35,distance,crawl-300d-2M-subword.bin
conundrum,1.93,2.1266642366688133,1,35,distance,crawl-300d-2M-subword.bin
convection,2.74,3.6616041659343277,1,35,distance,crawl-300d-2M-subword.bin
convention,3.28,3.341295173551224,1,35,distance,crawl-300d-2M-subword.bin
conversation,3.28,2.963467061602856,1,35,distance,crawl-300d-2M-subword.bin
conversion,2.46,2.5941032235970694,1,35,distance,crawl-300d-2M-subword.bin
cooler,4.14,4.280996114151995,1,35,distance,crawl-300d-2M-subword.bin
coordination,2.86,2.4090266297669465,1,35,distance,crawl-300d-2M-subword.bin
cord,4.63,4.523650171291592,1,35,distance,crawl-300d-2M-subword.bin
corporation,2.79,3.4706686224050562,1,35,distance,crawl-300d-2M-subword.bin
correctness,2.36,1.9432916082506801,1,35,distance,crawl-300d-2M-subword.bin
cortex,3.79,3.870057929923222,1,35,distance,crawl-300d-2M-subword.bin
cottage,4.85,4.614811602158161,1,35,distance,crawl-300d-2M-subword.bin
counterpart,2.63,3.331643684941644,1,35,distance,crawl-300d-2M-subword.bin
country,4.17,3.6867288587617195,1,35,distance,crawl-300d-2M-subword.bin
court,4.31,3.3317887286299666,1,35,distance,crawl-300d-2M-subword.bin
courthouse,4.86,4.562015360228158,1,35,distance,crawl-300d-2M-subword.bin
covenant,2.69,2.5714865791721477,1,35,distance,crawl-300d-2M-subword.bin
coverage,2.7,2.8345172476572826,1,35,distance,crawl-300d-2M-subword.bin
crackdown,2.83,2.4716726971299776,1,35,distance,crawl-300d-2M-subword.bin
credence,1.92,1.980779024331359,1,35,distance,crawl-300d-2M-subword.bin
criminality,1.87,2.3075499059534446,1,35,distance,crawl-300d-2M-subword.bin
criticism,2.07,2.3026499336080852,1,35,distance,crawl-300d-2M-subword.bin
crocodile,4.83,4.807550754750075,1,35,distance,crawl-300d-2M-subword.bin
cruiser,3.78,4.3764797353454306,1,35,distance,crawl-300d-2M-subword.bin
crypt,4.75,4.6203795154793506,1,35,distance,crawl-300d-2M-subword.bin
cunt,4.21,4.185875793655254,1,35,distance,crawl-300d-2M-subword.bin
curator,3.81,4.025435754091235,1,35,distance,crawl-300d-2M-subword.bin
curiosity,1.61,2.059117674072123,1,35,distance,crawl-300d-2M-subword.bin
currency,4.25,2.9905354521144503,1,35,distance,crawl-300d-2M-subword.bin
curriculum,3.23,3.2770148334916316,1,35,distance,crawl-300d-2M-subword.bin
custody,3.03,3.4186317381938185,1,35,distance,crawl-300d-2M-subword.bin
cutter,4.07,4.54614188873112,1,35,distance,crawl-300d-2M-subword.bin
dairy,4.45,4.53125811042031,1,35,distance,crawl-300d-2M-subword.bin
damper,3.13,3.7660860733769392,1,35,distance,crawl-300d-2M-subword.bin
data,3.93,3.041841287017953,1,35,distance,crawl-300d-2M-subword.bin
declaration,2.52,2.71081340246007,1,35,distance,crawl-300d-2M-subword.bin
decor,3.77,3.831388021801956,1,35,distance,crawl-300d-2M-subword.bin
deformation,3.0,2.892475237850131,1,35,distance,crawl-300d-2M-subword.bin
deformity,3.59,2.87124639873231,1,35,distance,crawl-300d-2M-subword.bin
dehydration,3.52,3.2783193812139837,1,35,distance,crawl-300d-2M-subword.bin
deletion,2.8,2.632945546022172,1,35,distance,crawl-300d-2M-subword.bin
delusion,2.3,1.9910136933835225,1,35,distance,crawl-300d-2M-subword.bin
democracy,1.78,2.2983646472379067,1,35,distance,crawl-300d-2M-subword.bin
denim,4.77,4.723918016362361,1,35,distance,crawl-300d-2M-subword.bin
denomination,2.77,3.15289445514627,1,35,distance,crawl-300d-2M-subword.bin
denominator,3.36,2.8387264915344943,1,35,distance,crawl-300d-2M-subword.bin
department,3.3,3.956179449462873,1,35,distance,crawl-300d-2M-subword.bin
deportation,2.42,2.821316373647314,1,35,distance,crawl-300d-2M-subword.bin
deposition,2.92,3.033542891528877,1,35,distance,crawl-300d-2M-subword.bin
depression,2.39,2.6142809568732286,1,35,distance,crawl-300d-2M-subword.bin
deprivation,1.96,2.40628919915497,1,35,distance,crawl-300d-2M-subword.bin
designer,3.78,3.812503377148789,1,35,distance,crawl-300d-2M-subword.bin
destination,3.82,3.3701511525497296,1,35,distance,crawl-300d-2M-subword.bin
deterrent,2.63,2.5053964856878865,1,35,distance,crawl-300d-2M-subword.bin
devastation,2.76,2.5365370693765925,1,35,distance,crawl-300d-2M-subword.bin
devil,3.41,3.6917882236380044,1,35,distance,crawl-300d-2M-subword.bin
devotee,2.86,3.295295228386702,1,35,distance,crawl-300d-2M-subword.bin
dexterity,2.72,2.0935044332708324,1,35,distance,crawl-300d-2M-subword.bin
dialysis,3.54,3.717920798094365,1,35,distance,crawl-300d-2M-subword.bin
dick,4.35,4.359305855230747,1,35,distance,crawl-300d-2M-subword.bin
diffusion,2.24,2.6682821341999965,1,35,distance,crawl-300d-2M-subword.bin
digit,4.52,3.70471151146083,1,35,distance,crawl-300d-2M-subword.bin
dignity,2.03,2.008452863519358,1,35,distance,crawl-300d-2M-subword.bin
diligence,1.97,1.970022013116982,1,35,distance,crawl-300d-2M-subword.bin
diner,4.82,4.661194765760697,1,35,distance,crawl-300d-2M-subword.bin
dinosaur,4.87,4.603261384999813,1,35,distance,crawl-300d-2M-subword.bin
diocese,3.04,3.8223888444160914,1,35,distance,crawl-300d-2M-subword.bin
dioxide,2.81,3.935685295231083,1,35,distance,crawl-300d-2M-subword.bin
disappointment,1.93,2.0756131661374684,1,35,distance,crawl-300d-2M-subword.bin
discernment,1.57,1.8520900907429956,1,35,distance,crawl-300d-2M-subword.bin
disclaimer,3.37,2.849574082383538,1,35,distance,crawl-300d-2M-subword.bin
disco,3.63,3.773480704948064,1,35,distance,crawl-300d-2M-subword.bin
dishwasher,4.86,4.717927375470257,1,35,distance,crawl-300d-2M-subword.bin
dismissal,2.0,2.357900238815301,1,35,distance,crawl-300d-2M-subword.bin
disparity,1.78,2.139056433494964,1,35,distance,crawl-300d-2M-subword.bin
dispensation,2.0,2.5501335707329957,1,35,distance,crawl-300d-2M-subword.bin
dispersion,2.22,2.6675853891342522,1,35,distance,crawl-300d-2M-subword.bin
displacement,2.72,2.664912304875505,1,35,distance,crawl-300d-2M-subword.bin
disposition,2.1,2.2985550076486767,1,35,distance,crawl-300d-2M-subword.bin
dissatisfaction,1.96,2.007464058014731,1,35,distance,crawl-300d-2M-subword.bin
dissemination,1.92,2.5873275782014002,1,35,distance,crawl-300d-2M-subword.bin
dissolution,1.82,2.5202813720777995,1,35,distance,crawl-300d-2M-subword.bin
divergence,2.15,2.2389133859471957,1,35,distance,crawl-300d-2M-subword.bin
diversity,2.28,2.145734714049542,1,35,distance,crawl-300d-2M-subword.bin
divination,1.85,2.575212022669751,1,35,distance,crawl-300d-2M-subword.bin
dog,4.85,4.735535398107499,1,35,distance,crawl-300d-2M-subword.bin
dollar,4.93,3.6877433193757074,1,35,distance,crawl-300d-2M-subword.bin
dolphin,4.96,4.803017737669388,1,35,distance,crawl-300d-2M-subword.bin
donkey,5.0,4.813874663295437,1,35,distance,crawl-300d-2M-subword.bin
doorway,4.75,4.635154534629575,1,35,distance,crawl-300d-2M-subword.bin
dopamine,3.67,3.750622893545109,1,35,distance,crawl-300d-2M-subword.bin
dosage,4.07,3.638652480837023,1,35,distance,crawl-300d-2M-subword.bin
dossier,4.21,3.684809997189969,1,35,distance,crawl-300d-2M-subword.bin
doughnut,4.96,4.877927035237985,1,35,distance,crawl-300d-2M-subword.bin
dozen,4.66,3.667088521338326,1,35,distance,crawl-300d-2M-subword.bin
drama,2.34,2.6244041218534093,1,35,distance,crawl-300d-2M-subword.bin
drinker,3.32,4.339881183992109,1,35,distance,crawl-300d-2M-subword.bin
driveway,4.77,4.719883567214117,1,35,distance,crawl-300d-2M-subword.bin
