word,run1,run2,run3,mean
annihilation,2,2,1,1.667
anniversary,3,3,3,3
announcement,3,3,3,3
announcer,4,4,4,4
annoyance,3,3,3,3
annuity,2,2,2,2
anomaly,2,2,3,2.333
anonymity,2,2,2,2
anorexia,2,2,2,2
ant,5,5,5,5
antagonism,2,2,2,2
antagonist,3,3,3,3
antenna,4,4,5,4.333
anthem,3,3,3,3
anthology,3,2,2,2.333
anthrax,2,2,2,2
anthropologist,3,3,3,3
anthropology,2,2,2,2
antibody,3,3,3,3
anticipation,3,3,3,3
antidepressant,3,3,3,3
antidote,4,3,3,3.333
antioxidant,3,3,3,3
antiquity,2,2,2,2
antithesis,2,2,2,2
anus,5,5,5,5
anvil,5,5,5,5
anxiety,2,2,2,2
apartment,5,5,5,5
apathy,2,2,2,2
apex,3,3,4,3.333
aphid,5,4,4,4.333
apocalypse,2,2,2,2
apologist,2,2,2,2
apology,3,3,3,3
apostle,2,2,2,2
apparatus,3,3,3,3
apparel,4,4,4,4
apparition,3,2,2,2.333
appearance,3,3,3,3
appendix,3,2,2,2.333
appetite,3,3,3,3
appetizer,4,4,4,4
applause,4,4,4,4
apple,5,5,5,5
appliance,4,4,4,4
applicability,3,2,2,2.333
applicant,3,3,3,3
application,3,3,3,3
appointee,3,3,3,3
appointment,3,3,3,3
appraisal,2,2,2,2
appreciation,3,3,3,3
apprehension,2,2,2,2
apprenticeship,3,3,3,3
appropriateness,2,2,2,2
appropriation,2,2,2,2
approval,2,2,2,2
approximation,3,3,3,3
apricot,5,5,5,5
apron,5,5,5,5
aptitude,2,2,2,2
aquarium,5,5,5,5
aquifer,3,3,2,2.667
arbitration,2,2,2,2
arbitrator,3,3,2,2.667
arcade,4,4,4,4
archaeologist,3,3,3,3
archaeology,3,3,3,3
archbishop,2,2,2,2
archery,4,4,4,4
architect,4,4,4,4
architecture,4,4,4,4
archive,3,3,3,3
archives,3,3,3,3
archivist,3,3,3,3
area,3,3,3,3
arena,4,4,4,4
argument,3,3,3,3
aristocracy,2,2,2,2
aristocrat,3,3,2,2.667
ark,4,4,4,4
armchair,5,5,5,5
armor,5,5,5,5
army,4,4,4,4
aroma,5,5,5,5
arousal,3,3,3,3
arrangement,3,3,3,3
array,3,3,3,3
arrival,4,4,4,4
arrogance,2,2,2,2
arrow,5,5,5,5
arsenal,3,3,3,3
arson,3,3,3,3
art,4,4,4,4
artery,5,5,4,4.667
arthritis,3,3,3,3
article,3,3,3,3
articulation,3,3,3,3
artifact,4,4,4,4
artillery,4,4,4,4
artisan,4,4,4,4
artist,4,4,4,4
artistry,3,3,3,3
artwork,4,4,4,4
asbestos,4,4,4,4
ascension,2,2,2,2
ascent,3,3,3,3
asparagus,5,5,5,5
aspect,2,3,2,2.333
asphalt,5,5,5,5
aspiration,2,2,2,2
aspirin,5,5,5,5
assailant,3,3,3,3
assassin,3,3,3,3
assassination,2,2,2,2
assemblage,3,3,3,3
assembly,3,3,3,3
assertion,2,2,2,2
assessment,2,2,2,2
assessor,3,3,3,3
asset,3,3,3,3
asshole,4,4,4,4
assignment,3,3,3,3
assimilation,2,2,2,2
assistance,3,3,3,3
association,3,3,3,3
assortment,3,3,3,3
assumption,2,2,2,2
assurance,2,2,2,2
asterisk,2,2,2,2
asteroid,4,4,4,4
asthma,3,3,3,3
astonishment,3,3,3,3
astrologer,3,3,3,3
astrology,2,2,2,2
astronaut,4,4,4,4
astronomer,3,3,3,3
astronomy,3,3,3,3
asylum,2,2,2,2
asymmetry,2,2,2,2
atheism,2,2,2,2
atheist,2,3,2,2.333
athlete,4,4,4,4
athletics,4,4,4,4
atlas,3,3,3,3
atmosphere,3,3,3,3
atom,3,3,3,3
atonement,2,2,2,2
atrium,4,4,4,4
atrocity,2,2,2,2
attachment,3,3,3,3
attacker,4,4,4,4
attainment,2,2,2,2
attendance,3,2,3,2.667
attendee,4,3,4,3.667
attention,3,3,3,3
attic,4,4,4,4
attitude,3,3,3,3
attorney,3,3,3,3
attraction,3,3,3,3
attractiveness,3,3,3,3
attribution,2,2,2,2
audacity,3,3,2,2.667
audience,3,3,3,3
auditor,3,3,3,3
auditorium,4,4,4,4
aunt,4,4,4,4
aura,3,3,3,3
austerity,2,2,2,2
authentication,2,2,2,2
authenticity,3,3,3,3
author,3,3,3,3
authority,2,3,2,2.333
authorization,2,2,2,2
authorship,2,2,2,2
autism,3,3,3,3
auto,5,5,5,5
autobiography,3,3,3,3
automation,3,3,3,3
automobile,5,5,5,5
autonomy,3,3,2,2.667
autopsy,3,3,3,3
autumn,4,4,4,4
availability,3,3,3,3
avalanche,5,5,5,5
avatar,3,3,3,3
avenue,4,4,4,4
aversion,2,2,2,2
aviation,3,3,3,3
aviator,4,4,4,4
avocado,5,5,5,5
avoidance,2,3,2,2.333
awakening,3,3,3,3
awareness,3,3,3,3
awning,5,5,5,5
axiom,2,2,2,2
axis,2,2,2,2
axle,5,5,5,5
babe,4,3,4,3.667
baby,5,5,5,5
bachelor,3,3,3,3
backbone,5,5,5,5
backdrop,3,3,3,3
backer,3,3,3,3
background,3,3,3,3
backlash,3,3,3,3
backlog,3,3,2,2.667
backpack,5,5,5,5
backside,5,5,5,5
backyard,5,5,5,5
bacon,5,5,5,5
bacterium,3,3,3,3
badge,5,5,5,5
bag,5,5,5,5
bagel,5,5,5,5
baggage,4,3,4,3.667
bailiff,2,2,2,2
bakery,5,5,5,5
balcony,5,5,5,5
ball,5,5,5,5
ballad,3,3,3,3
ballet,4,4,4,4
ballot,3,3,3,3
ballpark,3,3,3,3
ballroom,4,4,4,4
bamboo,5,5,5,5
banana,5,5,5,5
band,4,4,4,4
bandit,4,4,4,4
bandwagon,2,3,2,2.333
bandwidth,3,3,3,3
banjo,5,5,5,5
bank,5,5,5,5
banker,4,4,4,4
banking,3,3,3,3
bankruptcy,2,2,2,2
banner,5,5,5,5
baptism,3,3,3,3
barber,5,5,5,5
bargaining,3,3,3,3
barley,5,5,5,5
barn,5,5,5,5
baron,2,2,2,2
baroness,2,2,2,2
baroque,2,2,2,2
barrel,5,5,5,5
barrier,4,4,4,4
bartender,5,5,5,5
baseball,5,5,5,5
basement,5,5,5,5
basin,5,5,5,5
basis,2,2,2,2
basket,5,5,5,5
basketball,5,5,5,5
bass,5,5,5,5
bassist,4,4,4,4
batch,3,3,3,3
bathroom,5,5,5,5
bathtub,5,5,5,5
baton,5,5,5,5
battalion,2,2,3,2.333
battery,5,5,5,5
battlefield,4,5,4,4.333
battleground,4,4,4,4
battleship,5,5,5,5
bay,4,4,4,4
beach,5,5,5,5
beacon,4,4,4,4
beak,5,5,5,5
bean,5,5,5,5
beard,5,5,5,5
bearer,3,3,3,3
beast,4,4,4,4
beauty,4,4,4,4
bedding,5,5,5,5
bedrock,5,5,5,5
bedroom,5,5,5,5
bedside,5,5,5,5
bedtime,4,4,4,4
bee,5,5,5,5
beech,5,5,5,5
beekeeper,4,4,4,4
beer,5,5,5,5
beet,5,5,5,5
beginner,3,3,3,3
beginning,3,3,3,3
behavior,4,3,3,3.333
belief,2,2,2,2
believer,3,3,3,3
bell,5,5,5,5
belly,5,5,5,5
bench,5,5,5,5
benefactor,3,3,3,3
beneficiary,2,2,2,2
bereavement,2,2,2,2
bestseller,3,3,3,3
betrayal,2,2,2,2
beverage,5,5,5,5
bibliography,2,2,2,2
bidder,3,3,3,3
bidding,3,3,3,3
bigot,2,2,2,2
bigotry,1,1,1,1
bike,5,5,5,5
biker,5,4,5,4.667
bikini,5,5,5,5
bile,5,5,5,5
billboard,5,5,5,5
billing,2,2,2,2
billionaire,4,4,4,4
binder,5,5,5,5
binge,3,3,3,3
bingo,3,4,4,3.667
binoculars,5,5,5,5
biochemistry,2,2,2,2
biographer,3,3,3,3
biography,3,3,3,3
biologist,4,4,4,4
biology,3,3,3,3
biopsy,3,3,3,3
biotech,3,3,3,3
biotechnology,3,3,3,3
bird,5,5,5,5
birdie,5,5,5,5
birth,4,5,5,4.667
birthday,4,4,4,4
birthplace,4,4,4,4
bishop,3,3,3,3
bit,3,3,3,3
bitterness,3,3,3,3
biz,2,2,2,2
blackberry,5,5,5,5
blackboard,5,5,5,5
blackness,4,4,4,4
blacksmith,4,4,4,4
bladder,5,5,5,5
blade,5,5,5,5
blasphemy,2,2,2,2
blazer,5,5,5,5
blender,5,5,5,5
blessing,3,3,3,3
blindness,3,3,3,3
bliss,3,4,4,3.667
blizzard,5,5,5,5
blob,4,4,4,4
blockage,3,3,3,3
blocker,3,3,3,3
bloke,4,4,4,4
blood,5,5,5,5
bloodshed,3,3,3,3
bloodstream,4,4,4,4
blouse,5,5,5,5
blower,4,4,4,4
blueberry,5,5,5,5
blueprint,3,3,3,3
blurb,3,3,3,3
boar,5,5,5,5
boarder,3,3,3,3
boarding,4,4,4,4
boardroom,4,4,4,4
boat,5,5,5,5
body,5,5,5,5
bodyguard,4,4,4,4
bodywork,4,4,4,4
boiler,5,5,5,5
bombardment,3,3,3,3
bomber,4,4,4,4
bombing,3,3,3,3
bondage,2,2,2,2
bone,5,5,5,5
bonfire,5,5,5,5
bonnet,4,4,5,4.333
bonus,3,3,3,3
booking,3,3,3,3
bookkeeper,3,3,3,3
bookkeeping,3,3,3,3
booklet,4,5,4,4.333
bookmark,4,4,4,4
bookseller,4,4,4,4
bookshop,5,5,5,5
bookstore,5,5,5,5
boon,3,3,3,3
booster,3,3,3,3
booth,4,4,5,4.333
booty,4,4,4,4
boredom,2,2,2,2
borough,3,3,3,3
borrower,3,3,3,3
bosom,4,4,4,4
boss,4,4,4,4
botanist,3,3,3,3
bottle,5,5,5,5
bottleneck,3,3,3,3
bouncer,4,4,4,4
boundary,3,3,3,3
bounty,3,3,3,3
bouquet,5,5,5,5
bourbon,5,5,5,5
bourgeoisie,2,2,2,2
bout,3,3,3,3
boutique,4,4,4,4
bowel,5,5,5,5
bowler,4,4,4,4
bowling,4,4,4,4
box,5,5,5,5
boxer,5,5,5,5
boxing,4,4,4,4
boy,5,5,5,5
boyfriend,4,4,4,4
bra,5,4,5,4.667
bracelet,5,5,5,5
brain,5,5,5,5
brainstorm,3,3,3,3
brandy,5,5,5,5
brass,5,5,5,5
brat,3,3,3,3
bravery,3,3,3,3
bread,5,5,5,5
breadth,3,2,2,2.333
breakdown,3,3,3,3
breaker,4,4,4,4
breakfast,5,5,5,5
breakout,3,3,3,3
breakthrough,3,3,3,3
breakup,3,3,3,3
breast,5,5,5,5
breath,5,5,5,5
breather,3,3,4,3.333
breeder,4,4,4,4
breeding,3,3,3,3
brethren,2,2,2,2
brevity,2,2,2,2
brewery,5,5,5,5
brewing,4,4,4,4
bribery,2,2,2,2
brick,5,5,5,5
brickwork,5,5,5,5
bride,5,5,5,5
bridesmaid,4,4,4,4
briefcase,5,5,5,5
briefing,3,3,3,3
brigade,3,3,3,3
brightness,4,4,4,4
brilliance,3,3,3,3
brink,3,3,3,3
bro,3,3,3,3
broadcaster,4,4,4,4
broadcasting,3,3,3,3
broccoli,5,5,5,5
brochure,4,4,4,4
broker,3,3,3,3
brokerage,2,2,2,2
broom,5,5,5,5
broth,5,5,5,5
brothel,3,4,3,3.333
brother,4,4,4,4
brotherhood,3,3,3,3
brow,5,5,5,5
brownie,5,5,5,5
browser,4,4,4,4
brunch,4,4,4,4
brunt,3,3,3,3
brutality,2,2,2,2
bucket,5,5,5,5
buddy,4,4,4,4
budget,3,3,3,3
builder,5,5,5,5
building,5,5,5,5
buildup,3,3,3,3
bulb,5,5,5,5
bulkhead,3,3,3,3
bull,5,5,5,5
bulldozer,5,5,5,5
bullet,5,5,5,5
bulletin,3,3,3,3
bun,5,5,5,5
bunch,5,4,5,4.667
bungalow,5,5,5,5
bunny,5,5,5,5
bureau,5,5,5,5
bureaucracy,2,2,2,2
bureaucrat,3,3,3,3
burger,5,5,5,5
burglar,4,4,4,4
burglary,3,3,3,3
burial,4,4,4,4
burner,5,5,5,5
bus,5,5,5,5
bushel,4,4,4,4
business,3,3,3,3
businessman,4,3,3,3.333
butler,4,4,4,4
butterfly,5,5,5,5
buttock,5,5,5,5
button,5,5,5,5
buyer,4,4,4,4
buyout,2,2,3,2.333
bylaw,2,2,2,2
byproduct,3,3,3,3
bystander,4,4,4,4
byte,3,3,3,3
cab,5,5,5,5
cabbage,5,5,5,5
cabin,5,5,5,5
cabinet,5,5,5,5
cable,5,5,5,5
cache,3,3,3,3
cactus,5,5,5,5
cadence,3,3,3,3
cadet,3,3,3,3
cafe,5,5,5,5
cafeteria,5,5,5,5
caffeine,4,4,4,4
cake,5,5,5,5
calamity,2,2,2,2
calcium,3,3,4,3.333
calculation,3,3,3,3
calculator,5,5,5,5
calculus,2,2,2,2
calendar,4,4,4,4
calf,5,5,5,5
caliber,3,3,3,3
calibration,3,3,3,3
caller,4,4,4,4
calorie,3,3,3,3
camaraderie,3,3,3,3
camcorder,5,5,5,5
cameo,3,3,3,3
camera,5,5,5,5
cameraman,5,5,5,5
campaigner,3,3,3,3
camper,5,5,5,5
campfire,5,5,5,5
campground,4,4,4,4
camping,4,4,4,4
campsite,4,4,4,4
campus,4,4,4,4
canal,5,5,5,5
cancellation,3,3,3,3
cancer,3,3,3,3
candidacy,2,2,2,2
candidate,3,3,3,3
candle,5,5,5,5
candy,5,5,5,5
canister,5,5,5,5
cannabis,4,4,4,4
cannon,5,5,5,5
canon,3,3,3,3
canopy,4,4,4,4
canteen,5,5,5,5
canvas,5,5,5,5
canyon,5,5,5,5
capability,3,3,3,3
capacitor,3,3,2,2.667
capacity,3,3,3,3
capital,3,3,3,3
capitalism,2,2,2,2
capsule,4,4,4,4
captivity,2,2,2,2
captor,3,3,3,3
car,5,5,5,5
caramel,5,5,5,5
carbohydrate,3,3,3,3
carbon,3,3,3,3
carcass,5,5,5,5
carcinogen,3,2,2,2.333
card,5,5,5,5
cardiologist,3,3,3,3
career,3,3,3,3
caregiver,4,4,4,4
caretaker,4,4,4,4
cargo,5,5,5,5
carnage,2,2,2,2
carnival,4,4,4,4
carriage,5,5,5,5
carrier,3,3,3,3
carrot,5,5,5,5
cartel,2,2,2,2
cartilage,4,4,4,4
carton,5,5,5,5
cartoon,4,4,4,4
cartoonist,4,3,4,3.667
cartridge,4,4,4,4
case,3,3,3,3
casing,4,3,4,3.667
casino,4,4,4,4
casket,5,5,5,5
casserole,5,5,5,5
cassette,4,4,5,4.333
caste,2,2,2,2
castle,5,5,5,5
casualty,2,2,2,2
cat,5,5,5,5
catalog,3,3,3,3
catalyst,3,3,3,3
cataract,4,4,4,4
catastrophe,2,2,2,2
catcher,4,4,5,4.333
catechism,2,2,2,2
category,2,2,2,2
caterer,3,3,3,3
catering,3,3,3,3
caterpillar,5,5,5,5
catfish,5,5,5,5
cathedral,5,5,5,5
catheter,3,3,3,3
cattle,5,5,5,5
catwalk,4,3,4,3.667
cauliflower,5,5,5,5
causality,2,2,2,2
causation,2,2,2,2
cavalry,3,3,3,3
caveat,2,2,2,2
cavern,5,5,5,5
cavity,4,4,4,4
ceasefire,3,3,3,3
ceiling,5,5,5,5
celebration,4,4,4,4
celebrity,3,3,3,3
celery,5,5,5,5
cell,4,4,5,4.333
cellar,5,5,5,5
cello,5,5,5,5
cemetery,5,5,5,5
censorship,2,2,2,2
census,2,2,2,2
cent,5,5,5,5
centerpiece,4,4,4,4
centimeter,5,5,5,5
century,2,2,3,2.333
cereal,5,5,5,5
ceremony,3,3,3,3
certainty,2,2,2,2
certificate,3,3,3,3
certification,2,2,3,2.333
chairman,3,3,3,3
chairperson,3,3,3,3
chalet,5,5,5,5
challenger,3,3,3,3
chamber,4,4,4,4
championship,3,3,3,3
chance,3,3,3,3
chancellor,2,2,2,2
chandelier,5,5,5,5
changer,3,3,3,3
chaos,2,2,2,2
chaplain,2,3,3,2.667
chapter,3,3,3,3
character,3,3,3,3
characterization,2,2,2,2
charcoal,5,5,5,5
charger,5,5,5,5
chariot,4,4,4,4
charisma,3,3,3,3
charity,3,3,3,3
chasm,4,4,4,4
chastity,2,2,2,2
checklist,3,3,3,3
checkout,4,4,4,4
checkpoint,4,4,4,4
cheek,5,5,5,5
cheerleader,4,4,4,4
cheese,5,5,5,5
cheesecake,5,5,5,5
chef,5,5,5,5
chemist,4,4,4,4
chemistry,3,3,3,3
chemotherapy,3,3,3,3
chess,4,4,4,4
chest,5,5,5,5
chick,5,5,5,5
chicken,5,5,5,5
child,5,5,5,5
childbirth,4,4,4,4
childhood,3,3,3,3
chili,5,5,5,5
chimney,5,5,5,5
chimp,5,5,5,5
chimpanzee,5,5,5,5
chin,5,5,5,5
chiropractor,4,4,4,4
chloride,2,2,2,2
chlorine,5,4,4,4.333
choice,3,3,3,3
choir,4,4,4,4
cholera,3,2,3,2.667
cholesterol,3,3,3,3
chopper,5,5,5,5
chord,4,4,4,4
chore,3,4,4,3.667
choreographer,3,3,3,3
choreography,3,3,3,3
chorus,4,4,4,4
chromium,4,4,4,4
chromosome,2,2,2,2
chronology,2,2,2,2
chunk,4,4,4,4
church,4,4,4,4
churchyard,4,4,4,4
chute,4,4,4,4
cider,5,5,5,5
cigar,5,5,5,5
cigarette,5,5,5,5
cinema,4,4,4,4
cinematography,3,3,3,3
cinnamon,5,5,5,5
circuit,4,4,4,4
circuitry,3,3,3,3
circulation,3,3,3,3
circumcision,3,3,3,3
circumference,3,3,3,3
circumstance,2,2,2,2
circus,4,4,4,4
citation,2,2,2,2
citizen,3,3,3,3
citizenry,3,3,2,2.667
citizenship,3,3,3,3
city,4,5,4,4.333
civility,3,3,3,3
civilization,3,3,3,3
clan,3,3,3,3
clarification,2,2,2,2
clarinet,5,5,5,5
clarity,3,3,3,3
class,3,3,3,3
classification,2,2,2,2
classmate,4,4,4,4
classroom,5,5,5,5
clause,2,2,2,2
clay,5,5,5,5
cleaner,4,4,4,4
cleanliness,3,4,3,3.333
cleansing,3,3,3,3
cleanup,4,4,4,4
clearance,3,3,3,3
cleavage,3,3,3,3
clergy,3,3,3,3
clergyman,3,3,3,3
cleric,3,2,3,2.667
clerk,4,4,4,4
cliche,3,3,3,3
client,3,3,3,3
clientele,3,3,3,3
climate,3,3,3,3
climber,5,5,5,5
clinic,4,4,4,4
clinician,3,3,3,3
clipboard,5,5,5,5
clipper,4,4,4,4
clique,3,3,3,3
cloakroom,4,4,4,4
clone,3,3,3,3
closeness,3,3,3,3
closure,3,3,3,3
cloth,5,5,5,5
clothes,5,5,5,5
clothing,5,5,5,5
clove,5,5,5,5
clover,5,5,5,5
club,4,4,4,4
clubhouse,4,4,4,4
clue,3,3,3,3
coal,5,5,5,5
coalition,2,2,3,2.333
coast,5,5,5,5
coaster,5,5,5,5
coastline,5,5,5,5
coating,4,3,4,3.667
cocaine,5,5,5,5
cockpit,5,5,5,5
cockroach,5,5,5,5
cocktail,4,4,4,4
cocoa,5,5,5,5
cod,5,5,5,5
coder,4,4,4,4
coefficient,2,2,2,2
coercion,2,2,2,2
coffee,5,5,5,5
coffer,4,4,4,4
coffin,5,5,5,5
cognition,2,2,2,2
coherence,3,3,3,3
cohesion,3,3,3,3
cohort,3,3,3,3
coincidence,3,3,3,3
collaboration,3,3,3,3
collaborator,3,3,3,3
collage,4,4,4,4
collagen,3,3,3,3
colleague,4,3,3,3.333
collection,3,3,3,3
collector,4,4,4,4
college,3,3,3,3
collie,5,5,5,5
collision,4,4,4,4
colon,2,2,2,2
colonel,3,3,3,3
colonialism,2,2,2,2
colonist,3,3,3,3
colonization,2,2,2,2
colony,3,3,3,3
coloring,4,4,4,4
column,5,5,5,5
columnist,3,3,3,3
coma,3,3,3,3
combination,3,3,3,3
combo,3,3,3,3
combustion,3,3,3,3
comeback,3,3,3,3
comedian,4,4,4,4
comedy,3,3,3,3
comet,4,4,4,4
comma,3,3,3,3
commander,3,3,3,3
commandment,2,2,2,2
commando,3,3,3,3
commemoration,2,2,3,2.333
commencement,3,3,3,3
commentary,3,3,3,3
commentator,3,3,3,3
commerce,3,3,3,3
commissioner,2,2,2,2
commitment,3,3,3,3
committee,3,3,3,3
commodity,3,3,3,3
commonality,2,2,2,2
commonwealth,2,2,2,2
commotion,4,4,4,4
communication,3,3,3,3
communicator,3,3,3,3
communion,2,2,2,2
communism,2,2,2,2
community,3,4,3,3.333
commuter,3,3,3,3
companionship,3,3,3,3
company,3,3,3,3
comparison,2,2,2,2
compartment,4,4,4,4
compassion,3,3,3,3
compatibility,2,2,2,2
compatriot,3,3,3,3
compensation,2,2,2,2
competence,3,3,3,3
competency,3,3,3,3
competition,3,3,3,3
competitiveness,3,3,3,3
competitor,3,3,3,3
compilation,3,3,3,3
compiler,2,3,3,2.667
complacency,2,2,2,2
complaint,3,3,3,3
completeness,3,3,3,3
completion,3,3,3,3
complexion,4,4,4,4
complexity,2,2,2,2
compliance,2,2,2,2
complication,3,2,2,2.333
complicity,2,2,2,2
component,3,3,3,3
composer,3,3,3,3
composition,3,3,3,3
composure,3,3,3,3
comprehension,3,3,2,2.667
compression,3,3,3,3
compressor,4,4,4,4
compulsion,2,2,2,2
computation,3,3,3,3
computer,5,5,5,5
computing,3,3,3,3
comrade,3,3,3,3
conceit,2,2,2,2
concentration,3,3,3,3
concept,2,2,2,2
conception,2,2,2,2
concert,5,5,5,5
concerto,3,3,4,3.333
concession,3,3,3,3
concierge,3,3,3,3
conclusion,2,2,2,2
concoction,3,3,3,3
concussion,3,3,3,3
condemnation,2,2,2,2
condensation,3,3,3,3
condenser,3,3,3,3
condition,3,3,3,3
conditioner,5,5,5,5
conditioning,3,3,3,3
condo,5,5,5,5
condolence,2,2,2,2
condom,4,4,4,4
condominium,4,4,4,4
conductivity,3,3,3,3
conductor,4,4,4,4
conduit,3,3,3,3
cone,5,5,5,5
confederacy,2,2,2,2
conference,3,3,3,3
confession,3,3,3,3
confidence,3,3,3,3
confidentiality,2,2,2,2
configuration,3,3,3,3
confinement,2,2,3,2.333
confirmation,3,3,3,3
confiscation,3,2,2,2.333
confluence,3,3,3,3
conformity,2,2,2,2
confrontation,3,3,3,3
confusion,2,2,2,2
congestion,3,3,3,3
conglomerate,2,2,2,2
congrats,3,3,3,3
congratulation,3,3,3,3
congregation,3,3,3,3
congress,3,3,3,3
congressman,3,3,3,3
conjunction,2,2,2,2
connection,3,3,3,3
connectivity,3,3,3,3
connector,3,3,3,3
connotation,2,2,2,2
conqueror,3,3,3,3
conquest,3,3,3,3
conscience,2,2,2,2
consciousness,2,2,2,2
consecration,2,2,2,2
consensus,2,2,2,2
consequence,3,3,3,3
conservation,3,3,3,3
conservationist,3,3,3,3
conservatism,2,2,2,2
consideration,3,3,3,3
