word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
sampler,0,3.72,1.16,0,29,1.0,16,Noun,NN,10429
retina,0,4.46,0.79,1,29,0.97,37,Noun,NN,18795
cholera,0,3.26,1.51,1,28,0.96,56,Noun,NN,15834
quadrant,0,3.52,1.37,0,27,1.0,143,Noun,NN,12767
porcelain,0,4.63,0.69,0,27,1.0,80,Noun,NN,18356
henchman,0,4.08,1.13,1,27,0.96,17,Noun,NN,10810
outpouring,0,2.46,1.36,3,29,0.9,13,Noun,NN,12035
dexterity,0,2.72,1.46,0,29,1.0,21,Noun,NN,10273
lager,0,4.64,0.99,4,29,0.86,25,Noun,NN,15963
entourage,0,3.46,1.29,0,28,1.0,69,Noun,NN,10756
ledger,0,4.36,1.1,0,28,1.0,62,Noun,NN,13491
raisin,0,4.97,0.19,0,29,1.0,83,Noun,NN,13925
layoff,0,2.83,1.31,0,29,1.0,11,Noun,NN,18279
lentil,0,4.48,1.12,1,28,0.96,11,Noun,NN,12090
collagen,0,3.67,1.27,1,31,0.97,39,Noun,NN,14278
rink,0,4.56,0.89,1,28,0.96,109,Noun,NN,14971
inactivity,0,2.84,1.37,0,25,1.0,3,Noun,NN,11895
divination,0,1.85,1.1,3,30,0.9,5,Noun,NN,11677
venom,0,4.62,0.92,1,25,0.96,119,Noun,NN,14876
orator,0,4.0,1.19,2,27,0.93,8,Noun,NN,11062
civility,0,1.62,0.86,0,29,1.0,28,Noun,NN,11398
deformation,0,3.0,1.47,1,29,0.97,3,Noun,NN,14968
doughnut,0,4.96,0.2,0,26,1.0,215,Noun,NN,13058
relativism,0,1.75,1.03,2,26,0.92,2,Noun,NN,12104
canister,0,4.93,0.26,0,28,1.0,73,Noun,NN,15496
seatbelt,0,4.79,0.77,1,30,0.97,47,Noun,NN,12963
platelet,0,4.21,1.35,3,27,0.89,5,Noun,NN,12201
downpour,0,3.71,1.12,0,28,1.0,3,Noun,NN,10019
briefcase,0,4.86,0.52,0,29,1.0,438,Noun,NN,10535
softball,0,4.89,0.31,0,28,1.0,115,Noun,NN,13598
phonics,0,2.82,1.16,0,28,1.0,5,Noun,NN,10727
admiral,0,4.11,1.22,0,27,1.0,845,Noun,NN,11866
psychoanalysis,0,2.25,1.33,4,28,0.86,25,Noun,NN,14093
commemoration,0,2.6,1.44,2,27,0.93,5,Noun,NN,17227
progeny,0,2.93,1.59,2,29,0.93,18,Noun,NN,12472
ceasefire,0,3.11,1.34,0,28,1.0,15,Noun,NN,13515
dreamer,0,2.19,1.33,0,27,1.0,155,Noun,NN,17495
campfire,0,4.79,0.49,0,29,1.0,64,Noun,NN,11939
anarchism,0,1.92,1.18,1,25,0.96,2,Noun,NN,16326
tranquility,0,2.33,1.45,0,30,1.0,37,Noun,NN,12700
overpayment,0,3.14,1.48,0,28,1.0,2,Noun,NN,11179
optimist,0,1.9,1.09,0,30,1.0,78,Noun,NN,12116
freeway,0,4.7,0.47,0,27,1.0,282,Noun,NN,18481
brevity,0,2.23,1.31,3,29,0.9,11,Noun,NN,11471
aggressor,0,3.29,1.27,0,28,1.0,29,Noun,NN,12535
intoxication,0,3.0,1.22,0,29,1.0,19,Noun,NN,10092
minibus,0,4.55,0.91,4,26,0.85,28,Noun,NN,14458
incubation,0,3.32,1.6,0,31,1.0,21,Noun,NN,13962
mouthful,0,3.96,1.18,0,26,1.0,86,Noun,NN,10384
powerhouse,0,2.79,1.52,0,29,1.0,28,Noun,NN,18911
upholstery,0,4.65,0.75,0,31,1.0,59,Noun,NN,12341
toner,0,4.17,1.28,0,29,1.0,44,Noun,NN,12365
interconnection,0,2.14,0.88,0,29,1.0,1,Noun,NN,12505
cactus,0,5.0,0.0,0,32,1.0,148,Noun,NN,14734
thanksgiving,0,3.33,1.04,0,27,1.0,949,Noun,NN,12005
sclerosis,0,3.68,1.31,3,28,0.89,13,Noun,NN,17338
ascension,0,2.37,1.19,1,31,0.97,44,Noun,NN,12335
stag,0,4.39,0.88,0,28,1.0,81,Noun,NN,17203
logger,0,4.54,0.81,1,27,0.96,6,Noun,NN,10746
viewfinder,0,4.44,0.85,0,27,1.0,4,Noun,NN,11506
arousal,0,2.83,1.42,0,29,1.0,19,Noun,NN,10427
falcon,0,4.9,0.31,0,30,1.0,169,Noun,NN,13291
soprano,0,4.11,1.31,0,28,1.0,135,Noun,NN,16764
extortion,0,2.69,1.54,0,29,1.0,131,Noun,NN,12418
stationery,0,4.29,1.3,0,24,1.0,70,Noun,NN,16179
vestige,0,2.28,1.34,3,28,0.89,15,Noun,NN,11503
centimeter,0,4.13,1.31,0,30,1.0,10,Noun,NN,13993
exponent,0,3.07,1.52,0,27,1.0,4,Noun,NN,15154
demeanor,0,2.44,1.45,0,27,1.0,54,Noun,NN,12372
condenser,0,3.96,1.28,1,27,0.96,7,Noun,NN,11564
hospitalization,0,3.12,1.4,0,26,1.0,9,Noun,NN,13866
frosting,0,4.86,0.44,0,29,1.0,72,Noun,NN,10076
cranberry,0,4.96,0.19,0,27,1.0,99,Noun,NN,15842
dishonesty,0,1.9,1.09,0,30,1.0,29,Noun,NN,17919
painkiller,0,4.18,1.02,0,28,1.0,27,Noun,NN,14954
bereavement,0,2.33,1.3,0,27,1.0,23,Noun,NN,15763
preparedness,0,1.84,0.99,1,26,0.96,8,Noun,NN,18986
evangelism,0,1.93,0.92,1,30,0.97,4,Noun,NN,14748
humanism,0,1.81,1.27,3,30,0.9,3,Noun,NN,15125
cutoff,0,3.62,1.57,0,29,1.0,30,Noun,NN,11723
eyesight,0,3.59,1.6,0,27,1.0,99,Noun,NN,16372
yolk,0,4.78,0.64,1,28,0.96,21,Noun,NN,16592
sealant,0,4.08,1.23,0,26,1.0,12,Noun,NN,10379
gamut,0,2.65,1.37,4,27,0.85,13,Noun,NN,13622
trafficker,0,3.25,1.43,0,28,1.0,8,Noun,NN,14028
exclamation,0,2.48,1.43,0,29,1.0,28,Noun,NN,13576
palsy,0,2.76,1.27,4,29,0.86,27,Noun,NN,11228
blurb,0,3.04,1.45,1,29,0.97,13,Noun,NN,17606
boon,0,2.48,1.45,2,27,0.93,108,Noun,NN,17032
saucer,0,4.79,0.62,0,29,1.0,140,Noun,NN,15989
mermaid,0,4.5,0.82,0,30,1.0,161,Noun,NN,10387
barber,0,4.59,0.57,1,28,0.96,279,Noun,NN,14115
pragmatism,0,1.63,0.74,2,29,0.93,11,Noun,NN,11597
technicality,0,1.93,1.21,0,27,1.0,61,Noun,NN,11621
manpower,0,3.37,1.3,0,30,1.0,105,Noun,NN,18693
hater,0,2.21,1.15,0,29,1.0,32,Noun,NN,16528
subspecies,0,3.11,1.55,1,29,0.97,18,Noun,NN,10974
truffle,0,4.6,0.97,0,30,1.0,23,Noun,NN,12634
conspirator,0,2.37,1.62,0,27,1.0,11,Noun,NN,11194
werewolf,0,4.17,1.39,0,29,1.0,227,Noun,NN,15049
follicle,0,4.44,0.89,1,28,0.96,12,Noun,NN,13777
hearsay,0,1.82,1.06,0,28,1.0,78,Noun,NN,12756
experimenter,0,3.8,1.35,0,30,1.0,2,Noun,NN,10458
battleground,0,4.04,1.16,0,24,1.0,24,Noun,NN,10757
diaphragm,0,3.93,1.11,0,27,1.0,105,Noun,NN,13853
sardine,0,5.0,0.0,0,25,1.0,46,Noun,NN,11055
bestseller,0,2.59,1.15,0,29,1.0,35,Noun,NN,18429
introspection,0,1.35,0.75,1,27,0.96,9,Noun,NN,11859
teaser,0,2.93,1.36,0,27,1.0,14,Noun,NN,12848
speculator,0,3.41,1.42,1,28,0.96,5,Noun,NN,16752
oppressor,0,2.76,1.35,0,29,1.0,26,Noun,NN,14106
greyhound,0,5.0,0.0,0,29,1.0,46,Noun,NN,18937
groin,0,4.58,0.99,1,27,0.96,92,Noun,NN,15417
workmanship,0,2.33,1.33,0,27,1.0,28,Noun,NN,15098
deterrence,0,2.08,1.13,3,29,0.9,2,Noun,NN,13808
allegory,0,2.07,1.41,2,29,0.93,12,Noun,NN,16128
spinner,0,3.83,1.23,1,30,0.97,45,Noun,NN,14798
trivia,0,2.64,1.47,1,29,0.97,45,Noun,NN,18835
fondness,0,1.66,0.81,0,29,1.0,26,Noun,NN,14771
handkerchief,0,5.0,0.0,0,27,1.0,214,Noun,NN,12564
melon,0,4.78,0.58,0,27,1.0,218,Noun,NN,12784
mango,0,5.0,0.0,0,29,1.0,84,Noun,NN,15926
accordion,0,4.86,0.59,1,29,0.97,67,Noun,NN,12027
lightness,0,2.6,1.29,1,26,0.96,20,Noun,NN,11659
patriarchy,0,2.59,1.25,0,27,1.0,3,Noun,NN,12116
depositor,0,3.96,1.34,2,28,0.93,5,Noun,NN,12706
reincarnation,0,1.63,1.3,0,30,1.0,66,Noun,NN,15571
bushel,0,4.3,1.1,1,28,0.96,32,Noun,NN,18829
arson,0,3.66,1.34,0,29,1.0,153,Noun,NN,14804
puberty,0,3.5,1.46,0,30,1.0,112,Noun,NN,15448
nostril,0,4.89,0.42,0,28,1.0,35,Noun,NN,16372
annexation,0,2.32,1.31,4,29,0.86,7,Noun,NN,10577
cyst,0,4.23,1.19,0,30,1.0,22,Noun,NN,15371
confederacy,0,2.79,1.63,0,29,1.0,25,Noun,NN,12110
tradeoff,0,2.61,1.31,0,28,1.0,8,Noun,NN,12865
blower,0,4.07,1.07,0,27,1.0,17,Noun,NN,17045
amends,0,1.92,1.09,0,26,1.0,94,Noun,NN,10642
reorganization,0,2.31,1.26,0,29,1.0,18,Noun,NN,13871
satin,0,4.57,0.94,0,30,1.0,133,Noun,NN,15464
buttock,0,4.79,0.63,1,29,0.97,17,Noun,NN,12342
incapacity,0,1.7,1.06,3,26,0.88,13,Noun,NN,17795
aftermarket,0,3.58,1.45,2,28,0.93,2,Noun,NN,11591
deforestation,0,3.41,1.47,4,26,0.85,5,Noun,NN,17743
melee,0,3.22,1.25,3,30,0.9,14,Noun,NN,11806
anorexia,0,3.41,1.3,0,29,1.0,13,Noun,NN,11185
finisher,0,2.82,1.31,0,28,1.0,8,Noun,NN,13137
stylist,0,4.08,1.38,0,26,1.0,44,Noun,NN,17699
mitt,0,4.76,0.58,0,29,1.0,70,Noun,NN,11885
blazer,0,4.79,0.56,0,29,1.0,62,Noun,NN,10450
aviator,0,4.57,0.57,0,28,1.0,28,Noun,NN,10948
impartiality,0,1.42,0.64,2,28,0.93,6,Noun,NN,13316
sax,0,4.64,0.87,0,28,1.0,64,Noun,NN,12445
dentistry,0,3.64,1.5,0,28,1.0,19,Noun,NN,15031
heroism,0,2.67,1.37,0,30,1.0,56,Noun,NN,16766
tabernacle,0,4.04,1.23,3,27,0.89,36,Noun,NN,12538
clipboard,0,4.93,0.27,0,27,1.0,38,Noun,NN,12147
propriety,0,2.19,1.02,3,29,0.9,20,Noun,NN,14187
rancher,0,4.83,0.64,1,25,0.96,47,Noun,NN,18335
grinder,0,4.12,0.97,0,25,1.0,65,Noun,NN,17646
fungicide,0,3.89,1.26,1,29,0.97,3,Noun,NN,11928
crevice,0,4.43,1.07,0,30,1.0,21,Noun,NN,10118
ether,0,3.88,1.48,2,27,0.93,108,Noun,NN,17535
refutation,0,2.04,0.96,4,30,0.87,1,Noun,NN,10708
nectar,0,4.63,0.67,0,30,1.0,47,Noun,NN,16402
beekeeper,0,4.67,0.92,1,31,0.97,9,Noun,NN,15403
eatery,0,4.48,0.95,0,29,1.0,10,Noun,NN,14317
rye,0,4.74,0.81,0,27,1.0,212,Noun,NN,10963
polarity,0,2.19,1.21,1,28,0.96,18,Noun,NN,16588
osteoporosis,0,3.19,1.57,1,28,0.96,9,Noun,NN,17396
housekeeper,0,4.36,0.95,0,28,1.0,298,Noun,NN,13337
chastity,0,2.0,1.36,0,27,1.0,74,Noun,NN,10274
monsoon,0,4.48,0.99,0,29,1.0,40,Noun,NN,12781
consulate,0,3.6,1.35,4,29,0.86,249,Noun,NN,17271
plywood,0,4.82,0.77,2,30,0.93,23,Noun,NN,15228
stalker,0,3.93,0.77,0,28,1.0,189,Noun,NN,10720
hotspot,0,3.69,1.28,0,29,1.0,2,Noun,NN,15347
tidbit,0,3.19,1.67,1,27,0.96,17,Noun,NN,11742
confiscation,0,2.9,1.47,2,32,0.94,2,Noun,NN,14264
innings,0,3.41,1.58,0,27,1.0,49,Noun,NN,13473
linguist,0,3.72,1.19,1,30,0.97,27,Noun,NN,17248
medic,0,4.43,0.94,0,30,1.0,291,Noun,NN,18645
repossession,0,2.68,1.33,0,28,1.0,2,Noun,NN,10560
unicorn,0,3.62,1.66,0,29,1.0,126,Noun,NN,14186
atonement,0,1.44,0.85,2,29,0.93,18,Noun,NN,18309
pluralism,0,1.79,0.93,2,26,0.92,1,Noun,NN,15853
exhibitionist,0,3.67,1.07,0,27,1.0,10,Noun,NN,17795
tact,0,1.76,1.12,0,29,1.0,56,Noun,NN,10691
hamster,0,4.86,0.59,0,28,1.0,109,Noun,NN,16008
nugget,0,4.45,1.02,0,29,1.0,60,Noun,NN,16597
collie,0,4.77,0.82,1,27,0.96,53,Noun,NN,13436
lifeline,0,3.28,1.49,0,29,1.0,44,Noun,NN,13870
misdemeanor,0,2.48,1.6,0,27,1.0,73,Noun,NN,17765
radon,0,3.92,1.28,2,26,0.92,4,Noun,NN,10640
overtone,0,2.41,1.28,1,28,0.96,3,Noun,NN,12287
rebuttal,0,2.93,1.41,0,27,1.0,39,Noun,NN,18052
rioting,0,3.79,1.26,1,30,0.97,26,Noun,NN,11648
immorality,0,2.11,1.29,1,29,0.97,22,Noun,NN,12620
tortilla,0,4.89,0.57,0,28,1.0,16,Noun,NN,13906
plaza,0,4.44,1.05,0,27,1.0,301,Noun,NN,16029
alleyway,0,4.3,1.15,0,23,1.0,40,Noun,NN,10255
luncheon,0,3.92,1.28,0,24,1.0,167,Noun,NN,15373
solver,0,3.0,1.39,1,29,0.97,14,Noun,NN,10323
metropolis,0,3.89,1.34,1,29,0.97,52,Noun,NN,15679
easement,0,2.88,1.61,4,30,0.87,8,Noun,NN,16979
rapport,0,1.84,1.07,0,25,1.0,32,Noun,NN,16349
oncologist,0,3.96,1.55,3,27,0.89,44,Noun,NN,10208
financier,0,3.46,1.5,2,26,0.92,17,Noun,NN,15613
bikini,0,4.96,0.19,0,27,1.0,188,Noun,NN,18480
linebacker,0,4.69,0.76,0,29,1.0,30,Noun,NN,12931
constitutionality,0,1.7,1.17,1,28,0.96,6,Noun,NN,10914
grail,0,4.23,1.07,3,29,0.9,137,Noun,NN,10208
toothbrush,0,5.0,0.0,0,29,1.0,255,Noun,NN,12737
maturation,0,2.26,1.2,1,28,0.96,3,Noun,NN,10218
changer,0,3.41,1.28,0,27,1.0,23,Noun,NN,16553
deli,0,4.57,0.84,1,29,0.97,108,Noun,NN,11588
altruism,0,1.5,1.19,3,25,0.88,11,Noun,NN,12484
skillet,0,4.73,0.72,0,26,1.0,62,Noun,NN,16368
consul,0,3.36,1.35,3,28,0.89,184,Noun,NN,10703
workbook,0,4.57,1.01,0,30,1.0,6,Noun,NN,16548
galley,0,4.07,1.54,0,27,1.0,82,Noun,NN,11859
blouse,0,4.96,0.19,0,27,1.0,272,Noun,NN,12657
habitation,0,3.08,1.32,2,28,0.93,11,Noun,NN,13740
latex,0,4.77,0.43,1,27,0.96,74,Noun,NN,16289
loader,0,3.43,1.5,0,30,1.0,23,Noun,NN,16802
hummingbird,0,4.96,0.19,0,28,1.0,31,Noun,NN,11210
assailant,0,3.96,1.16,0,27,1.0,75,Noun,NN,13299
otter,0,4.86,0.74,0,29,1.0,69,Noun,NN,15039
subsystem,0,3.21,1.42,1,29,0.97,6,Noun,NN,16660
virginity,0,2.82,1.42,0,28,1.0,199,Noun,NN,12146
helium,0,3.96,1.16,0,24,1.0,73,Noun,NN,16511
windmill,0,4.89,0.42,0,27,1.0,65,Noun,NN,17616
kicker,0,3.88,1.36,0,25,1.0,54,Noun,NN,11454
supremacist,0,3.19,1.33,1,28,0.96,4,Noun,NN,10783
trepidation,0,1.68,1.11,2,27,0.93,7,Noun,NN,10749
encroachment,0,2.32,1.35,3,28,0.89,2,Noun,NN,11742
topography,0,3.64,1.25,2,27,0.93,13,Noun,NN,18427
escalator,0,5.0,0.0,0,29,1.0,66,Noun,NN,11880
localization,0,2.63,1.57,1,28,0.96,1,Noun,NN,13093
layman,0,2.96,1.4,1,29,0.97,48,Noun,NN,18922
endpoint,0,3.26,1.46,0,27,1.0,1,Noun,NN,11505
mascot,0,4.2,1.13,0,30,1.0,84,Noun,NN,16057
catheter,0,4.48,0.92,1,26,0.96,55,Noun,NN,15278
pinnacle,0,2.67,1.56,0,30,1.0,22,Noun,NN,18467
airship,0,4.92,0.27,1,27,0.96,30,Noun,NN,10407
bodywork,0,3.43,1.55,0,28,1.0,10,Noun,NN,13393
spaghetti,0,5.0,0.0,0,29,1.0,302,Noun,NN,16724
chili,0,4.79,0.49,0,29,1.0,382,Noun,NN,17919
ovation,0,3.45,1.35,0,29,1.0,45,Noun,NN,13037
animator,0,4.0,1.0,0,29,1.0,2,Noun,NN,12354
ark,0,4.67,0.68,2,29,0.93,199,Noun,NN,16239
mama,0,4.3,1.15,0,30,1.0,5289,Noun,NN,12603
cowardice,0,2.1,1.06,0,30,1.0,91,Noun,NN,11423
dormitory,0,4.64,0.91,1,29,0.97,51,Noun,NN,14322
emulation,0,2.12,1.09,3,28,0.89,1,Noun,NN,13602
eagerness,0,1.69,0.85,0,29,1.0,13,Noun,NN,12284
pothole,0,4.81,0.63,0,26,1.0,25,Noun,NN,15950
nomad,0,4.1,1.16,0,30,1.0,27,Noun,NN,10881
squid,0,4.71,0.71,0,28,1.0,141,Noun,NN,15873
sash,0,4.67,0.88,2,29,0.93,58,Noun,NN,16150
dizziness,0,3.07,1.38,0,27,1.0,47,Noun,NN,12060
dew,0,4.38,0.8,1,27,0.96,109,Noun,NN,13572
biz,0,2.38,1.31,4,28,0.86,95,Noun,NN,11873
hammock,0,4.89,0.58,0,27,1.0,71,Noun,NN,11921
assimilation,0,2.03,1.35,1,31,0.97,10,Noun,NN,18696
wholesaler,0,3.86,1.06,0,29,1.0,9,Noun,NN,16878
ballpark,0,4.43,1.07,0,30,1.0,89,Noun,NN,10282
chute,0,4.61,0.79,0,28,1.0,184,Noun,NN,11894
hanger,0,4.81,0.48,0,27,1.0,69,Noun,NN,18447
inverter,0,3.56,1.5,0,27,1.0,2,Noun,NN,12836
councilor,0,3.78,1.15,2,29,0.93,9,Noun,NN,16448
seaweed,0,4.89,0.42,0,28,1.0,88,Noun,NN,14738
mainstay,0,2.19,1.47,3,29,0.9,9,Noun,NN,13944
labyrinth,0,4.22,0.85,1,28,0.96,41,Noun,NN,14047
subcommittee,0,3.55,1.27,0,29,1.0,43,Noun,NN,17573
groundwork,0,2.82,1.56,1,29,0.97,23,Noun,NN,18735
parlor,0,4.28,1.07,0,29,1.0,303,Noun,NN,12759
bribery,0,2.89,1.4,1,29,0.97,69,Noun,NN,18521
screwdriver,0,4.9,0.31,0,29,1.0,128,Noun,NN,17711
concerto,0,3.75,0.89,2,30,0.93,48,Noun,NN,14303
panda,0,4.75,0.93,0,28,1.0,108,Noun,NN,13765
evaporation,0,3.03,1.45,0,30,1.0,2,Noun,NN,14751
consecration,0,2.07,1.39,0,30,1.0,2,Noun,NN,10448
stiffness,0,2.93,1.27,0,27,1.0,9,Noun,NN,18561
malpractice,0,1.79,1.2,1,29,0.97,79,Noun,NN,15960
townhouse,0,4.86,0.58,0,29,1.0,38,Noun,NN,10849
eloquence,0,1.88,1.14,0,26,1.0,27,Noun,NN,12748
turnip,0,4.79,0.68,0,29,1.0,88,Noun,NN,10158
mower,0,4.86,0.44,0,29,1.0,75,Noun,NN,17090
faux,0,2.5,1.33,3,29,0.9,41,Noun,NN,17830
